Data;Valor_FOB_MM;Qtde_MM_t;Preço_US$_t;
05/2001;416,3;2,5;163,8;
04/2001;336,1;2,0;168,7;
03/2001;161,9;0,9;179,3;
02/2001;19,7;0,1;213,2;
01/2001;58,2;0,3;196,7;
12/2000;21,3;0,1;187,0;
11/2000;62,3;0,3;189,6;
10/2000;113,4;0,6;189,7;
09/2000;149,1;0,8;188,4;
08/2000;380,2;2,0;189,1;
07/2000;353,3;1,9;190,8;
06/2000;345,4;1,8;192,8;
05/2000;337,4;1,8;190,6;
04/2000;304,3;1,6;189,6;
03/2000;104,3;0,6;185,1;
02/2000;11,3;0,1;190,1;
01/2000;5,5;0,0;163,9;
12/1999;20,2;0,1;176,0;
11/1999;34,3;0,2;184,1;
10/1999;58,9;0,3;182,4;
09/1999;123,9;0,7;176,2;
08/1999;133,7;0,8;172,7;
07/1999;219,9;1,3;175,6;
06/1999;247,9;1,4;174,3;
05/1999;335,2;1,9;180,1;
04/1999;284,8;1,6;181,6;
03/1999;95,9;0,5;183,1;
02/1999;28,4;0,1;198,9;
01/1999;9,1;0,0;232,2;
12/1998;13,3;0,1;212,9;
11/1998;38,7;0,2;232,5;
10/1998;93,2;0,4;227,4;
09/1998;220,3;1,0;228,8;
08/1998;201,1;0,9;228,2;
07/1998;270,3;1,2;233,0;
06/1998;345,5;1,5;235,3;
05/1998;446,6;1,9;235,7;
04/1998;444,5;1,9;239,0;
03/1998;98,9;0,4;247,7;
02/1998;5,4;0,0;252,8;
01/1998;0,7;0,0;419,9;
12/1997;0,1;0,0;448,4;
11/1997;1,9;0,0;386,4;
10/1997;32,4;0,1;307,0;
09/1997;104,1;0,3;298,5;
08/1997;291,1;1,0;295,0;
07/1997;494,9;1,7;296,3;
06/1997;395,8;1,3;294,1;
05/1997;504,1;1,7;297,0;
04/1997;462,9;1,6;289,5;
03/1997;156,2;0,6;283,9;
02/1997;4,9;0,0;286,4;
01/1997;4,1;0,0;293,6;
